"Jerry is an extremely short basketball player
How tall do you think Jerry is? (ft and in)","Jerry is a short basketball player
How tall do you think Jerry is? (ft and in)","John is an extremely tall basketball player
How tall do you think John is? (ft and in)","John is a tall basketball player
How tall do you think John is? (ft and in)","Amy is an extremely short woman 
How tall do you think Amy is? (ft and in)","Amy is a short woman 
How tall do you think Amy is? (ft and in)","Sarah is an extremely tall woman 
How tall do you think Sarah is? (ft and in)","Sarah is a tall woman 
How tall do you think Sarah is? (ft and in)","It's extremely cold for winter in Boston 
What temperature do you think it is? (in F)","It's cold for winter in Boston 
What temperature do you think it is? (in F)","It's an extremely hot for winter in Boston 
What temperature do you think it is? (in F)","It's  hot for winter in Boston 
What temperature do you think it is? (in F)","It's very cold for summer in Boston 
What temperature do you think it is? (in F)","It's cold for summer in Boston 
What temperature do you think it is? (in F)","It's very hot for summer in Boston 
What temperature do you think it is? (in F)","It's hot for summer in Boston 
What temperature do you think it is? (in F)","Taylor is a very short gymnast
How tall do you think Taylor is? (ft and in)","Taylor is a short gymnast
How tall do you think Taylor is? (ft and in)","Maya is a very tall gymnast
How tall do you think Maya is? (ft and in)","Maya is a  tall gymnast
How tall do you think Maya is? (ft and in)","Gary is a very short man 
How tall do you think Gary is? (ft and in)","Gary is a short man 
How tall do you think Gary is? (ft and in)","Bill is a very tall man 
How tall do you think Bill is? (ft and in)","Bill is a tall man 
How tall do you think Bill is? (ft and in)"
56,67,84,80,48,60,82,72,10,18,45,48,60,58,90,88,48,58,72,74,60,60,78,80
48,66,84,80,59,62,72,72,15,20,60,45,60,60,90,93,45,48,80,67,36,60,72,72
48,67,84,80,48,60,80,72,15,33,35,40,50,65,94,85,50,48,80,66,56,65,74,72
54,60,82,80,42,54,71,72,5,20,52,50,60,60,90,90,52,59,72,68,60,60,74,72
60,60,80,80,48,60,72,72,18,38,40,60,58,57,95,87,36,56,70,72,54,65,80,80
48,66,84,75,44,62,72,70,15,30,60,58,60,60,91,90,35,47,80,68,60,65,80,80
62,60,96,78,36,60,66,70,36,31,60,60,58,50,85,87,43,48,72,65,36,65,72,72
66,66,82,80,55,66,72,72,19,18,37,59,60,57,83,85,54,48,80,64,60,62,83,75
62,60,79,80,36,60,90,72,9,27,60,40,50,60,90,98,84,36,72,80,54,60,82,80
63,60,96,78,48,54,72,72,20,20,41,60,60,60,90,95,36,58,80,68,62,60,75,72
48,67,84,80,48,60,78,72,7,20,60,40,60,60,91,95,48,48,72,65,62,65,80,72
60,66,84,78,42,60,84,72,10,32,60,50,50,60,90,85,42,47,80,67,45,60,72,74
65,60,78,80,48,54,80,68,10,32,60,60,60,60,90,85,59,56,80,66,56,62,84,72
64,67,80,75,52,60,72,72,9,30,57,40,42,60,90,90,48,59,70,62,36,60,82,72
62,66,84,80,48,60,72,72,19,32,45,60,50,58,95,80,45,47,80,67,55,60,80,72
48,67,80,80,56,59,80,72,16,20,50,60,58,64,96,78,42,48,80,66,62,60,84,80
65,65,84,183,42,60,72,70,19,30,50,50,60,60,90,85,45,36,72,80,36,60,82,72
42,66,75,78,48,60,72,72,33,32,60,50,60,60,90,92,48,47,80,66,60,65,84,72
56,66,84,72,42,60,80,72,15,20,60,60,60,60,95,75,47,48,72,67,60,65,76,72
60,68,80,80,48,66,72,72,10,30,18,60,60,60,90,90,48,48,80,80,62,60,82,80
56,66,84,80,42,60,72,72,20,33,60,45,60,62,95,90,40,36,80,66,47,65,84,72
60,67,84,78,59,62,80,69,5,20,60,55,60,60,95,83,48,59,80,67,59,65,84,80
56,65,80,80,47,63,84,72,20,58,40,60,60,68,90,85,48,47,80,81,60,60,72,72
63,66,82,78,41,62,96,72,5,35,50,40,60,59,89,85,36,48,80,66,40,65,82,74
56,68,80,80,42,60,78,72,15,20,80,41,60,60,90,90,48,47,80,80,48,60,84,72
60,60,84,80,47,62,72,71,4,28,61,60,60,60,97,90,,48,80,,48,62,84,72
48,68,78,78,48,62,72,72,36,40,50,51,50,64,90,85,,36,80,,54,60,78,72
65,65,84,75,36,60,78,72,20,20,75,40,60,74,85,85,,59,80,,36,60,80,74
48,68,84,77,59,60,72,69,20,38,60,38,60,60,95,90,,48,80,,54,62,78,72
,65,80,84,48,60,72,,23,33,40,50,60,60,98,92,,48,80,,62,60,76,80
,,82,78,35,62,72,,20,30,63,50,60,60,,80,,48,80,,48,62,82,72
,,80,80,48,62,80,,7,18,60,60,60,60,,85,,58,72,,48,60,76,72
,,84,,42,60,82,,19,,60,40,50,65,,90,,36,80,,48,60,82,72
,,78,,35,60,80,,10,,60,65,60,60,,85,,48,80,,60,60,78,73
,,84,,48,62,96,,20,,75,60,55,60,,84,,59,72,,65,60,84,72
,,84,,59,60,88,,,,75,50,57,56,,80,,,70,,47,65,74,72
,,84,,45,,72,,,,60,70,60,64,,85,,,80,,,62,75,76
,,80,,59,,72,,,,60,40,60,60,,,,,80,,,62,72,74
,,84,,47,,72,,,,65,45,50,40,,,,,70,,,60,74,72
,,84,,48,,80,,,,60,45,63,,,,,,80,,,,80,80
,,,,,,,,,,,,59,,,,,,80,,,,75,
,,,,,,,,,,,,60,,,,,,,,,,72,
,,,,,,,,,,,,55,,,,,,,,,,,
,,,,,,,,,,,,63,,,,,,,,,,,
