"Jerry is an extremely short basketball player
How tall do you think Jerry is? (ft and in)","Jerry is a short basketball player
How tall do you think Jerry is? (ft and in)","John is an extremely tall basketball player
How tall do you think John is? (ft and in)","John is a tall basketball player
How tall do you think John is? (ft and in)","Amy is an extremely short woman 
How tall do you think Amy is? (ft and in)","Amy is a short woman 
How tall do you think Amy is? (ft and in)","Sarah is an extremely tall woman 
How tall do you think Sarah is? (ft and in)","Sarah is a tall woman 
How tall do you think Sarah is? (ft and in)","It's extremely cold for winter in Boston 
What temperature do you think it is? (in F)","It's cold for winter in Boston 
What temperature do you think it is? (in F)","It's an extremely hot for winter in Boston 
What temperature do you think it is? (in F)","It's  hot for winter in Boston 
What temperature do you think it is? (in F)","It's very cold for summer in Boston 
What temperature do you think it is? (in F)","It's cold for summer in Boston 
What temperature do you think it is? (in F)","It's very hot for summer in Boston 
What temperature do you think it is? (in F)","It's hot for summer in Boston 
What temperature do you think it is? (in F)","Taylor is a very short gymnast
How tall do you think Taylor is? (ft and in)","Taylor is a short gymnast
How tall do you think Taylor is? (ft and in)","Maya is a very tall gymnast
How tall do you think Maya is? (ft and in)","Maya is a  tall gymnast
How tall do you think Maya is? (ft and in)","Gary is a very short man 
How tall do you think Gary is? (ft and in)","Gary is a short man 
How tall do you think Gary is? (ft and in)","Bill is a very tall man 
How tall do you think Bill is? (ft and in)","Bill is a tall man 
How tall do you think Bill is? (ft and in)"
5.714285714,3.458646617,4.812030075,4.060150376,8.643410853,3.992248062,2.596899225,2.984496124,2.882767457,1.921844971,0.128122998,0.64061499,0.64061499,0.64061499,2.562459962,2.562459962,6.466165414,3.834586466,1.052631579,0.45112782,1.666666667,1.666666667,3.759689922,2.984496124
3.458646617,3.458646617,4.060150376,4.060150376,6.317829457,1.666666667,2.984496124,2.984496124,2.049967969,0.768737988,0.64061499,0.64061499,0.512491992,0.448430493,2.882767457,2.370275464,12.48120301,4.962406015,0.30075188,1.052631579,3.992248062,0.271317829,6.085271318,6.085271318
7.969924812,1.203007519,5.563909774,2.180451128,7.868217054,0.891472868,2.984496124,2.209302326,2.242152466,1.281229981,0.64061499,0.512491992,0.64061499,0.64061499,2.626521461,2.562459962,12.85714286,8.345864662,4.060150376,0.45112782,1.666666667,0.271317829,6.085271318,6.085271318
2.706766917,3.458646617,10.07518797,3.308270677,10.96899225,1.666666667,0.658914729,2.209302326,0.896860987,1.217168482,0.64061499,0.64061499,0.512491992,0.64061499,2.242152466,2.370275464,9.84962406,7.969924812,1.052631579,1.578947368,10.96899225,0.271317829,2.984496124,2.984496124
1.203007519,1.203007519,4.812030075,4.060150376,3.604651163,0.658914729,2.984496124,2.984496124,1.98590647,2.049967969,0.832799488,0.576553491,0.64061499,0.448430493,2.114029468,2.242152466,5.714285714,7.969924812,4.060150376,1.954887218,1.666666667,0.891472868,7.248062016,4.147286822
2.706766917,3.458646617,3.684210526,4.060150376,10.96899225,1.666666667,9.96124031,2.984496124,2.626521461,1.473414478,0.64061499,0.64061499,0.960922486,0.64061499,2.562459962,3.074951954,5.563909774,12.48120301,1.052631579,4.060150376,3.992248062,1.666666667,6.860465116,6.085271318
2.330827068,3.458646617,10.07518797,3.308270677,6.317829457,3.992248062,2.984496124,2.984496124,1.921844971,1.921844971,0.576553491,0.64061499,0.64061499,0.64061499,2.562459962,2.882767457,12.48120301,4.210526316,4.060150376,0.45112782,0.891472868,1.666666667,4.147286822,2.984496124
7.969924812,0.827067669,5.563909774,4.060150376,6.317829457,1.666666667,5.310077519,2.984496124,2.754644459,1.921844971,0.64061499,0.64061499,0.64061499,0.64061499,2.626521461,2.882767457,7.969924812,7.969924812,1.052631579,1.578947368,0.891472868,0.271317829,6.085271318,2.984496124
3.458646617,1.203007519,5.563909774,3.308270677,8.643410853,1.666666667,7.635658915,2.984496124,2.562459962,1.153106983,0.64061499,1.281229981,0.320307495,0.64061499,2.562459962,2.242152466,10.22556391,8.345864662,4.060150376,0.827067669,7.480620155,1.666666667,2.984496124,3.759689922
1.578947368,3.458646617,3.308270677,4.060150376,6.317829457,3.992248062,6.085271318,1.434108527,2.562459962,1.153106983,0.64061499,0.64061499,0.64061499,0.64061499,2.562459962,2.242152466,3.834586466,4.962406015,4.060150376,1.203007519,3.217054264,0.891472868,7.635658915,2.984496124
1.954887218,0.827067669,4.060150376,2.180451128,4.76744186,1.666666667,2.984496124,2.984496124,2.626521461,1.281229981,0.448430493,0.64061499,0.512491992,0.64061499,2.562459962,2.562459962,7.969924812,3.834586466,0.30075188,2.706766917,10.96899225,1.666666667,6.860465116,2.984496124
2.706766917,1.203007519,5.563909774,4.060150376,6.317829457,1.666666667,2.984496124,2.984496124,1.98590647,1.153106983,0.320307495,0.64061499,0.960922486,0.512491992,2.882767457,1.921844971,9.097744361,8.345864662,4.060150376,0.827067669,3.604651163,1.666666667,6.085271318,2.984496124
7.969924812,0.827067669,4.060150376,4.060150376,3.217054264,2.054263566,6.085271318,2.984496124,2.178090967,1.921844971,0.64061499,0.64061499,0.512491992,0.896860987,2.946828956,1.793721973,10.22556391,7.969924812,4.060150376,1.203007519,0.891472868,1.666666667,7.635658915,6.085271318
1.578947368,1.578947368,5.563909774,42.78195489,8.643410853,1.666666667,2.984496124,2.209302326,1.98590647,1.281229981,0.832799488,0.320307495,0.64061499,0.64061499,2.562459962,2.242152466,9.097744361,12.48120301,1.052631579,4.060150376,10.96899225,1.666666667,6.860465116,2.984496124
10.22556391,1.203007519,2.180451128,3.308270677,6.317829457,1.666666667,2.984496124,2.984496124,1.089045484,1.153106983,0.64061499,0.320307495,0.64061499,0.64061499,2.562459962,2.69058296,7.969924812,8.345864662,4.060150376,1.203007519,1.666666667,0.271317829,7.635658915,2.984496124
4.962406015,1.203007519,5.563909774,1.052631579,8.643410853,1.666666667,6.085271318,2.984496124,2.242152466,1.921844971,0.64061499,0.64061499,0.64061499,0.64061499,2.882767457,1.601537476,8.345864662,7.969924812,1.052631579,0.827067669,1.666666667,0.271317829,4.534883721,2.984496124
3.458646617,0.45112782,4.060150376,4.060150376,6.317829457,0.658914729,2.984496124,2.984496124,2.562459962,1.281229981,2.049967969,0.64061499,0.64061499,0.64061499,2.562459962,2.562459962,7.969924812,7.969924812,4.060150376,4.060150376,0.891472868,1.666666667,6.860465116,6.085271318
4.962406015,1.203007519,5.563909774,4.060150376,8.643410853,1.666666667,2.984496124,2.984496124,1.921844971,1.089045484,0.64061499,0.320307495,0.64061499,0.768737988,2.882767457,2.562459962,10.97744361,12.48120301,4.060150376,1.203007519,6.705426357,0.271317829,7.635658915,2.984496124
3.458646617,0.827067669,5.563909774,3.308270677,2.054263566,0.891472868,6.085271318,1.821705426,2.882767457,1.921844971,0.64061499,0.320307495,0.64061499,0.64061499,2.882767457,2.114029468,7.969924812,3.834586466,4.060150376,0.827067669,2.054263566,0.271317829,7.635658915,6.085271318
4.962406015,1.578947368,4.060150376,4.060150376,6.705426357,0.503875969,7.635658915,2.984496124,1.921844971,0.512491992,0.64061499,0.64061499,0.64061499,1.153106983,2.562459962,2.242152466,7.969924812,8.345864662,4.060150376,4.436090226,1.666666667,1.666666667,2.984496124,2.984496124
2.330827068,1.203007519,4.812030075,3.308270677,9.031007752,0.891472868,12.28682171,2.984496124,2.882767457,0.960922486,1.601537476,0.64061499,0.64061499,0.576553491,2.498398463,2.242152466,12.48120301,7.969924812,4.060150376,1.203007519,9.418604651,0.271317829,6.860465116,3.759689922
4.962406015,0.45112782,4.060150376,4.060150376,8.643410853,1.666666667,5.310077519,2.984496124,2.242152466,1.921844971,1.921844971,0.576553491,0.64061499,0.64061499,2.562459962,2.562459962,7.969924812,8.345864662,4.060150376,4.060150376,6.317829457,1.666666667,7.635658915,2.984496124
